time,expn,gene,gt,light,rep
54,0.65467799,ELF4,Col,LL,rep2
57,1.43719007,ELF4,Col,LL,rep2
24,0.786165473,ELF4,rve468,LL,rep2
27,0.418192056,ELF4,rve468,LL,rep2
30,0.322140521,ELF4,rve468,LL,rep2
33,0.212517907,ELF4,rve468,LL,rep2
36,0.381071526,ELF4,rve468,LL,rep2
39,0.603023462,ELF4,rve468,LL,rep2
42,0.910852569,ELF4,rve468,LL,rep2
45,1.13454988,ELF4,rve468,LL,rep2
48,1.333531653,ELF4,rve468,LL,rep2
51,0.848214985,ELF4,rve468,LL,rep2
54,0.689439209,ELF4,rve468,LL,rep2
57,0.490024362,ELF4,rve468,LL,rep2
24,0.745914969,ELF4,cca1lhyrve468,LL,rep2
27,0.868491836,ELF4,cca1lhyrve468,LL,rep2
30,0.939850001,ELF4,cca1lhyrve468,LL,rep2
33,0.78216538,ELF4,cca1lhyrve468,LL,rep2
36,1.236310525,ELF4,cca1lhyrve468,LL,rep2
39,1.763573161,ELF4,cca1lhyrve468,LL,rep2
42,2.070993219,ELF4,cca1lhyrve468,LL,rep2
45,1.638351376,ELF4,cca1lhyrve468,LL,rep2
48,1.138982584,ELF4,cca1lhyrve468,LL,rep2
51,1.114859324,ELF4,cca1lhyrve468,LL,rep2
54,1.027543267,ELF4,cca1lhyrve468,LL,rep2
57,1.362906398,ELF4,cca1lhyrve468,LL,rep2
24,0.532500087,ELF4,cca1lhy,LL,rep2
27,0.764658754,ELF4,cca1lhy,LL,rep2
30,1.663429762,ELF4,cca1lhy,LL,rep2
33,1.792606027,ELF4,cca1lhy,LL,rep2
36,1.317697954,ELF4,cca1lhy,LL,rep2
39,1.058926094,ELF4,cca1lhy,LL,rep2
42,0.889665445,ELF4,cca1lhy,LL,rep2
45,0.908449598,ELF4,cca1lhy,LL,rep2
48,1.625285217,ELF4,cca1lhy,LL,rep2
51,1.382875559,ELF4,cca1lhy,LL,rep2
54,1.343431463,ELF4,cca1lhy,LL,rep2
57,1.016090025,ELF4,cca1lhy,LL,rep2
24,0.159892343,PRR5,Col,LL,rep1
27,0.179378918,PRR5,Col,LL,rep1
30,0.619865499,PRR5,Col,LL,rep1
33,3.051618953,PRR5,Col,LL,rep1
36,1.521300586,PRR5,Col,LL,rep1
39,0.593597171,PRR5,Col,LL,rep1
42,0.309732661,PRR5,Col,LL,rep1
45,0.383150213,PRR5,Col,LL,rep1
48,0.258400793,PRR5,Col,LL,rep1
51,0.397476217,PRR5,Col,LL,rep1
54,1.1382495,PRR5,Col,LL,rep1
57,1.605812153,PRR5,Col,LL,rep1
24,0.607883951,PRR5,rve468,LL,rep1
27,0.423590108,PRR5,rve468,LL,rep1
30,0.19483019,PRR5,rve468,LL,rep1
33,0.325973656,PRR5,rve468,LL,rep1
36,0.390453658,PRR5,rve468,LL,rep1
39,0.75543031,PRR5,rve468,LL,rep1
42,1.303244767,PRR5,rve468,LL,rep1
45,1.174688365,PRR5,rve468,LL,rep1
48,0.75396011,PRR5,rve468,LL,rep1
51,0.525427907,PRR5,rve468,LL,rep1
54,0.613358735,PRR5,rve468,LL,rep1
57,0.30577667,PRR5,rve468,LL,rep1
24,0.402481002,PRR5,cca1lhyrve468,LL,rep1
27,0.539813773,PRR5,cca1lhyrve468,LL,rep1
30,0.600149778,PRR5,cca1lhyrve468,LL,rep1
33,1.077009419,PRR5,cca1lhyrve468,LL,rep1
36,0.793693163,PRR5,cca1lhyrve468,LL,rep1
39,1.141332574,PRR5,cca1lhyrve468,LL,rep1
42,0.825398316,PRR5,cca1lhyrve468,LL,rep1
45,0.764123042,PRR5,cca1lhyrve468,LL,rep1
48,0.83544823,PRR5,cca1lhyrve468,LL,rep1
51,0.656886371,PRR5,cca1lhyrve468,LL,rep1
54,0.91313454,PRR5,cca1lhyrve468,LL,rep1
57,1.024671467,PRR5,cca1lhyrve468,LL,rep1
24,0.875498341,PRR5,cca1lhy,LL,rep1
27,2.329061025,PRR5,cca1lhy,LL,rep1
30,3.274395941,PRR5,cca1lhy,LL,rep1
33,1.873560735,PRR5,cca1lhy,LL,rep1
36,0.75475284,PRR5,cca1lhy,LL,rep1
39,0.733666877,PRR5,cca1lhy,LL,rep1
42,0.822095698,PRR5,cca1lhy,LL,rep1
45,1.775945092,PRR5,cca1lhy,LL,rep1
48,2.571775756,PRR5,cca1lhy,LL,rep1
51,1.552888168,PRR5,cca1lhy,LL,rep1
54,1.471383305,PRR5,cca1lhy,LL,rep1
57,1.163995303,PRR5,cca1lhy,LL,rep1
24,0.14504236,PRR5,Col,LL,rep2
27,0.238202307,PRR5,Col,LL,rep2
30,0.735370731,PRR5,Col,LL,rep2
33,3.771284984,PRR5,Col,LL,rep2
36,2.385696038,PRR5,Col,LL,rep2
39,0.631573926,PRR5,Col,LL,rep2
42,0.382407497,PRR5,Col,LL,rep2
45,0.434180213,PRR5,Col,LL,rep2
48,0.323750137,PRR5,Col,LL,rep2
51,0.357645472,PRR5,Col,LL,rep2
54,1.325947035,PRR5,Col,LL,rep2
57,2.481343781,PRR5,Col,LL,rep2
24,0.620321425,PRR5,rve468,LL,rep2
27,0.369095264,PRR5,rve468,LL,rep2
30,0.419936305,PRR5,rve468,LL,rep2
33,0.291931858,PRR5,rve468,LL,rep2
36,0.537363036,PRR5,rve468,LL,rep2
39,0.950886436,PRR5,rve468,LL,rep2
42,1.440679129,PRR5,rve468,LL,rep2
45,1.260023587,PRR5,rve468,LL,rep2
48,0.851099521,PRR5,rve468,LL,rep2
51,0.589564417,PRR5,rve468,LL,rep2
54,0.559983863,PRR5,rve468,LL,rep2
57,0.433510989,PRR5,rve468,LL,rep2
24,0.531110838,PRR5,cca1lhyrve468,LL,rep2
27,0.750047393,PRR5,cca1lhyrve468,LL,rep2
30,0.673514887,PRR5,cca1lhyrve468,LL,rep2
33,1.173513475,PRR5,cca1lhyrve468,LL,rep2
36,1.251047554,PRR5,cca1lhyrve468,LL,rep2
